management_id,genre,note_key,title,published_at,url,price,views,likes,comments
CRAFT-001,手芸,nf1fcb315c3b5,ダイソー「ドールズヤーン」でスヌーピー風ポーチを編んでみた｜初心者でも作れる？失敗ポイントとコツ,2026-06-08T11:37:01.000+09:00,https://note.com/saya_3mom_life/n/nf1fcb315c3b5,0,120,25,0
OTEPAY-002,開発,n19fca6a0bced,お手伝いポイントアプリ自作日記#2｜作り始めたら決めることだらけだった,2026-06-23T22:16:25.000+09:00,https://note.com/saya_3mom_life/n/n19fca6a0bced,0,91,21,5
OTEPAY-004,開発,n9743a1c5dfdf,お手伝いポイントアプリ自作日記#4｜家族で使い始めて最初に見つかった２つの不具合,2026-07-09T17:06:26.000+09:00,https://note.com/saya_3mom_life/n/n9743a1c5dfdf,0,87,17,0
OTEPAY-009,開発,na5bdf99d5706,おてペイ日記#9｜「よく使うものは隠さない」,2026-07-30T16:50:14.000+09:00,https://note.com/saya_3mom_life/n/na5bdf99d5706,0,88,12,0
OTEPAY-001,開発,n6396852d7c6a,お手伝いポイント管理アプリが使えなくなった｜お手伝いポイントアプリを自作し始めた理由,2026-06-19T16:50:46.000+09:00,https://note.com/saya_3mom_life/n/n6396852d7c6a,0,82,19,0
LIFE-004,生活,nffa7e9ae3234,夏休みのお昼ご飯、今年は先に全部決めました,2026-07-22T18:41:45.000+09:00,https://note.com/saya_3mom_life/n/nffa7e9ae3234,0,74,18,2
LIFE-003,生活,n003e73497ad9,noteを書くたび5分かかっていた画像編集をAIで自動化した話,2026-07-20T22:17:54.000+09:00,https://note.com/saya_3mom_life/n/n003e73497ad9,0,69,13,0
PLAYVEE-001,開発,n3cb576e5f930,デザインが苦手でも大丈夫。AIに「画面設計書」を渡したら、ここまでできた 〜ChatGPT・Claude・Gemini比較＆テンプレート公開〜,2026-07-12T06:09:03.000+09:00,https://note.com/saya_3mom_life/n/n3cb576e5f930,500,66,12,0
LIFE-006,生活,n41dd15343129,noteの見出し画像作成を自動化する｜iPhoneショートカット＋Scriptableで自分専用ツールを作った方法,2026-08-02T07:50:26.000+09:00,https://note.com/saya_3mom_life/n/n41dd15343129,500,69,10,0
OTHER-001,その他,n11933f33e051,家の中はぐちゃぐちゃ。10年授乳ブラで過ごす3児ママエンジニアが「生存」のためにnoteを始めます。,2026-05-09T10:11:08.000+09:00,https://note.com/saya_3mom_life/n/n11933f33e051,0,62,18,0
OTEPAY-003,開発,nf27bdd46ade5,お手伝いポイントアプリ自作日記#3｜ついに家族で使えるようになりました,2026-06-29T20:55:58.000+09:00,https://note.com/saya_3mom_life/n/nf27bdd46ade5,0,62,15,0
OTEPAY-005,開発,n30fda5bfa761,お手伝いポイントアプリ自作日記#5｜「前のアプリの方が良かった」と言われた日,2026-07-14T08:31:49.000+09:00,https://note.com/saya_3mom_life/n/n30fda5bfa761,0,59,14,0
CRAFT-003,手芸,nf9c5e7c96ad4,「この布どうしよう？」が解決。ChatGPTの提案でショルダーバッグを作ってみました,2026-07-06T16:58:23.000+09:00,https://note.com/saya_3mom_life/n/nf9c5e7c96ad4,0,57,13,2
CRAFT-005,手芸,ne9d6aa722ef5,初めて作った甚平を、もう一度着られる形へ,2026-08-06T16:41:33.000+09:00,https://note.com/saya_3mom_life/n/ne9d6aa722ef5,0,60,23,2
AILAB-001,AIラボ,n82c683a34214,【AIラボ #1】ChatGPT APIで始める、AI編集部の実験,2026-08-08T17:11:16.000+09:00,https://note.com/saya_3mom_life/n/n82c683a34214,0,55,19,0
